switching_rate,avg_confidence,avg_fatigue,time_in_exploitation,time_in_exploration,Agent
0.7697769776977698,0.998466812113,0.8308852557139998,0.3898,0.6102,1
0.9853985398539854,0.996194291662,0.771209261303,0.501,0.499,2
0.8030803080308031,0.995771762935,0.726776707904,0.5644,0.4356,3
0.9894989498949897,0.998026173719,0.7779467242729999,0.5006,0.4994,4
0.6947694769476948,0.997614261545,0.8649700523060001,0.647,0.353,5
0.9242924292429244,0.987346146359,0.863657302064,0.5128,0.4872,6
0.1627162716271627,0.99035945329,0.6614984972865999,0.9026,0.0974,7
0.9671967196719672,0.990433174437,0.617606924919,0.4931,0.5069,8
0.3362336233623362,0.99822800418,0.724864253105,0.1781,0.8219,9
0.8054805480548055,0.9947855410299998,0.5440586487729999,0.4213,0.5787,10
0.7861786178617862,0.995768548337,0.552642086341,0.5939,0.4061,11
0.94009400940094,0.996906615513,0.526734257933,0.4969,0.5031,12
